LAMMPS data file, Author: Jerry Qin

1000 atoms
0 bonds
0 angles

2 atom types

-100.0 6100 xlo xhi
-100.0 6100 ylo yhi
-100.0 6100 zlo zhi

Masses

1 221851
2 422051

Atoms

175 1  2539.543 5999.281 4733.822
176 1  318.268 552.697 1504.863
177 1  2143.726 965.971 1618.892
178 1  0.000 674.548 3241.315
179 1  3222.949 988.448 0.000
180 1  1559.023 4889.109 2114.725
181 1  4290.989 7.889 1864.818
182 1  225.298 850.098 136.689
183 1  752.279 52.931 832.731
184 1  2354.727 430.708 3036.860
185 1  1409.198 201.143 57.481
186 1  1008.982 3778.571 3064.809
187 1  66.738 538.523 673.610
188 1  294.642 1987.492 6.900
189 1  1782.033 4798.836 5999.511
190 1  835.110 254.256 1027.741
191 1  4393.826 1401.147 5006.956
192 1  791.401 796.533 9.839
193 1  1161.425 111.332 1432.517
194 1  814.468 1375.584 618.217
195 1  1274.639 1918.459 1478.790
196 1  1496.156 17.579 412.090
197 1  1475.511 3761.851 4555.527
198 1  1062.419 1113.427 1070.983
199 1  306.996 2553.330 1042.877
200 1  726.956 4305.716 294.642
201 1  2242.195 2115.713 0.000
202 1  1892.155 210.604 479.996
203 1  3498.844 4181.948 1758.921
204 1  2471.160 152.517 712.476
205 1  96.368 5012.644 1663.379
206 1  840.836 2238.781 0.000
207 1  5109.107 5412.390 673.037
208 1  747.090 706.818 1626.866
209 1  2623.463 788.723 2774.256
210 1  1713.692 995.557 118.117
211 1  2637.497 0.000 2714.825
212 1  171.366 610.650 1795.223
213 1  1236.415 961.430 1192.172
214 1  3025.305 1001.731 0.000
215 1  42.176 427.589 2045.597
216 1  78.154 2793.024 1481.577
217 1  3301.941 232.960 1321.433
218 1  2051.984 0.000 1391.809
219 1  3179.699 2439.917 3019.095
220 1  926.125 936.226 1664.328
221 1  1658.622 95.709 495.824
222 1  5084.790 3181.251 2237.072
223 1  486.522 145.346 281.778
224 1  2523.403 399.941 763.033
225 1  5999.240 3275.324 758.689
226 1  0.000 467.142 403.412
227 1  4751.144 36.024 0.132
228 1  2367.229 601.970 4276.086
229 1  2888.294 1735.215 871.609
230 1  6000.000 0.000 4294.114
231 1  199.785 17.742 1551.023
232 1  36.913 315.410 1405.111
233 1  2357.217 527.288 1793.070
234 1  699.663 292.622 19.106
235 1  1410.614 0.000 2667.035
236 1  897.200 270.549 0.000
237 1  1531.266 1376.624 1704.148
238 1  11.608 1004.819 2842.183
239 1  11.953 2452.479 2391.065
240 1  1874.496 1780.440 3812.885
241 1  989.422 49.015 21.847
242 1  851.486 796.386 603.983
243 1  2061.368 1364.561 2997.039
244 1  772.195 3913.952 884.811
245 1  1523.438 1935.270 1511.031
246 1  904.781 1155.113 148.473
247 1  4166.691 2331.735 2431.301
248 1  564.559 791.316 0.000
249 1  1841.979 0.000 1382.198
250 1  1343.957 4397.013 1913.092
251 1  1483.920 2367.299 16.597
252 1  488.457 221.552 1384.912
253 1  1946.314 3394.664 1737.554
254 1  7.451 3549.583 100.399
255 1  670.686 1138.112 1234.576
256 1  899.854 78.247 1230.307
257 1  2081.116 0.000 2039.897
258 1  5989.701 0.000 3333.655
259 1  1709.476 2187.094 108.022
260 1  0.000 1847.006 1373.148
261 1  41.211 46.763 5251.540
262 1  1162.264 867.882 893.646
263 1  1693.960 1259.207 1664.665
264 1  5219.072 0.000 3091.997
265 1  1543.187 928.670 332.002
266 1  3279.507 6000.000 0.000
267 1  2557.454 2523.776 3356.745
268 1  989.429 1932.709 184.867
269 1  4215.991 0.000 7.737
270 1  2140.836 0.000 5365.186
271 1  3991.236 1534.896 2129.982
272 1  1215.528 1366.984 1869.581
273 1  1090.740 1210.365 103.833
274 1  4994.307 2425.590 733.897
275 1  2065.161 3765.128 692.565
276 1  0.000 489.390 2398.692
277 1  81.789 213.702 2182.154
278 1  493.752 243.941 14.399
279 1  187.109 3806.155 0.000
280 1  1441.161 1453.213 2050.948
281 1  752.484 1185.916 0.000
282 1  5899.223 2939.061 4647.507
283 1  0.000 308.691 2672.788
284 1  4534.434 1554.084 372.175
285 1  1169.065 674.513 31.197
286 1  760.098 0.409 1893.628
287 1  3331.746 805.615 0.000
288 1  4018.529 25.222 79.108
289 1  623.250 73.543 0.000
290 1  1243.700 1014.636 788.446
291 1  2302.965 1729.572 5121.948
292 1  118.624 2611.769 1401.134
293 1  1305.603 1260.107 0.051
294 1  0.145 254.649 2016.679
295 1  0.000 1095.612 2056.082
296 1  0.000 4709.600 2997.032
297 1  311.619 306.019 1086.325
298 1  910.607 1113.268 1521.200
299 1  916.733 5989.137 5419.616
300 1  3.714 71.131 3243.624
301 1  3908.370 5841.366 3796.356
302 1  58.432 413.031 132.736
303 1  3184.098 0.000 5884.455
304 1  2814.383 3547.820 1573.834
305 1  5839.527 1372.479 1564.518
306 1  1404.717 898.259 4392.810
307 1  932.625 2267.876 1452.701
308 1  210.487 12.725 1056.303
309 1  2589.285 65.541 1030.458
310 1  181.947 1147.469 0.000
311 1  0.000 2663.726 2993.139
312 1  1226.691 4494.300 174.463
313 1  308.614 230.403 319.726
314 1  1350.992 3683.230 0.000
315 1  5414.784 1037.613 4819.122
316 1  418.497 2125.605 10.871
317 1  892.086 1381.176 2055.791
318 1  0.000 2093.957 350.383
319 1  116.040 460.746 956.465
320 1  1122.355 942.148 0.000
321 1  2479.682 3241.339 1954.091
322 1  3538.268 5666.218 4223.267
323 1  44.936 3485.400 3796.363
324 1  420.580 2602.527 2393.069
325 1  3064.268 60.090 115.223
326 1  1015.216 1513.080 1555.923
327 1  3820.804 2922.802 576.578
328 1  1679.694 1597.833 1664.084
329 1  817.213 992.082 0.000
330 1  2249.790 2368.750 3773.766
331 1  1045.374 738.224 1884.886
332 1  0.000 3165.763 1070.007
333 1  1774.668 2702.721 1441.050
334 1  172.509 2992.999 180.979
335 1  5683.167 0.000 1299.877
336 1  1115.372 1559.659 612.407
337 1  3534.803 1418.894 165.800
338 1  1849.014 2640.615 74.575
339 1  1.359 1518.741 563.100
340 1  2113.666 577.266 1848.950
341 1  1548.550 3079.723 5.258
342 1  1537.334 1249.714 2185.851
343 1  1759.999 1906.559 942.975
344 1  4378.243 5962.219 16.594
345 1  2856.940 244.844 0.000
346 1  309.631 515.023 2703.411
347 1  995.421 784.568 0.000
348 1  1772.029 2001.612 137.819
349 1  274.385 514.191 2414.926
350 1  5057.604 0.000 1363.424
351 1  3394.022 134.303 1866.508
352 1  2597.074 0.796 5999.771
353 1  2921.952 45.336 482.283
354 1  113.635 323.154 348.288
355 1  0.000 4332.826 462.631
356 1  4001.182 1413.036 5945.823
357 1  1278.516 1063.987 0.000
358 1  1439.153 1932.036 27.636
359 1  3497.540 2112.391 742.446
360 1  326.234 732.664 4585.583
361 1  0.000 1662.614 411.282
362 1  1205.121 325.526 1267.062
363 1  3197.852 1682.533 1774.166
364 1  4506.365 3591.437 0.000
365 1  321.723 47.424 1243.265
366 1  2211.577 2455.741 4517.267
367 1  3026.145 2592.981 228.782
368 1  1239.027 3186.956 1066.412
369 1  3360.418 1102.997 4979.889
370 1  943.820 4138.962 1818.168
371 1  1571.717 489.005 981.550
372 1  1271.722 472.089 394.271
373 1  113.329 85.951 2033.493
374 1  1831.366 4836.281 2313.939
375 1  142.712 2295.243 1564.068
376 1  22.258 2915.065 0.118
377 1  938.323 55.901 3960.608
378 1  830.861 61.575 999.586
379 1  1225.124 0.000 6000.000
380 1  191.670 0.000 2962.468
381 1  0.000 2261.123 2647.881
382 1  335.526 864.135 2626.932
383 1  1002.604 1260.867 1849.710
384 1  2.484 1064.626 1575.507
385 1  2411.420 0.000 2235.452
386 1  1932.366 3168.676 2561.305
387 1  5990.638 438.203 220.967
388 1  840.768 179.159 4714.954
389 1  1532.424 3643.613 1377.410
390 1  0.000 4346.829 1806.958
391 1  387.439 42.427 1447.379
392 1  733.405 2.522 623.532
393 1  2438.038 0.000 3464.453
394 1  0.000 1726.032 777.791
395 1  997.417 1517.708 3168.588
396 1  4783.390 0.000 3312.243
397 1  971.797 816.172 5737.973
398 1  419.256 47.933 96.394
399 1  1601.049 0.498 5991.778
400 1  3163.332 360.989 3321.442
401 1  89.110 5971.576 5256.942
402 1  1380.759 899.952 992.773
403 1  244.739 1882.026 204.398
404 1  172.407 1715.540 1162.315
405 1  2419.603 3837.220 2119.224
406 1  6000.000 971.750 941.015
407 1  1220.300 41.469 1603.355
408 1  677.482 73.406 1351.569
409 1  330.369 1202.452 152.001
410 1  5967.712 3101.109 3302.015
411 1  2544.819 3649.984 427.678
412 1  117.283 2072.102 0.000
413 1  312.291 1463.753 42.298
414 1  72.735 289.951 1122.558
415 1  992.848 2835.113 1864.560
416 1  1523.884 2707.267 0.255
417 1  0.000 1385.353 1547.405
418 1  318.805 4386.275 70.850
419 1  1619.513 1813.183 0.000
420 1  5420.335 6.276 603.488
421 1  1016.304 4117.501 772.845
422 1  531.844 408.181 915.799
423 1  1211.806 53.989 477.924
424 1  827.223 1571.812 1505.425
425 1  769.216 7.115 1543.173
426 1  4.454 1702.070 594.286
427 1  976.320 21.325 2410.596
428 1  145.298 2544.440 82.833
429 1  2385.545 1357.417 0.000
430 1  3242.996 3910.582 3284.704
431 1  1703.999 77.270 1279.023
432 1  2596.525 0.000 3010.141
433 1  1308.470 1275.935 505.144
434 1  2118.875 1130.617 0.000
435 1  834.436 3992.689 1166.115
436 1  4812.195 2809.006 3190.439
437 1  4384.836 4041.864 4317.576
438 1  816.121 446.593 2629.977
439 1  284.555 0.884 3150.690
440 1  5001.618 5848.306 1196.444
441 1  1589.879 5228.937 2730.199
442 1  0.000 1527.108 2374.215
443 1  13.412 1258.769 1173.393
444 1  3282.439 0.989 2032.674
445 1  143.604 542.341 2265.209
446 1  985.452 1672.964 0.000
447 1  962.045 4018.649 3298.526
448 1  1445.071 277.427 2922.708
449 1  712.763 1641.831 1651.029
450 1  2064.187 2263.464 0.060
451 1  680.647 2041.119 1484.987
452 1  2685.164 1318.948 0.000
453 1  1349.792 380.074 0.000
454 1  2679.741 3204.238 3400.061
455 1  217.885 1436.182 3697.983
456 1  1519.938 164.444 1689.780
457 1  1791.453 1366.934 1437.877
458 1  2263.595 1814.440 3574.353
459 1  4117.506 1578.402 1127.163
460 1  1156.799 189.428 1745.447
461 1  5706.063 4970.877 463.039
462 1  2318.740 0.000 172.175
463 1  3641.751 5127.022 2560.333
464 1  934.433 3295.294 110.493
465 1  1799.761 744.177 2315.116
466 1  2610.097 572.297 2.059
467 1  0.000 2461.903 4071.857
468 1  2254.999 1964.026 233.237
469 1  3148.392 1622.974 0.000
470 1  0.000 1792.524 2758.204
471 1  0.000 3018.888 2215.987
472 1  746.032 2047.905 42.264
473 1  1422.598 524.966 851.759
474 1  2468.288 317.717 22.186
475 1  3253.282 0.000 457.927
476 1  619.358 4379.503 1541.555
477 1  5012.961 38.126 5404.145
478 1  850.275 2294.783 5999.576
479 1  2260.294 2692.145 0.000
480 1  1820.162 5279.422 6000.000
481 1  6.672 572.909 5999.580
482 1  4639.498 2360.453 827.797
483 1  4140.802 223.149 3663.298
484 1  1046.934 0.139 1628.573
485 1  5994.008 1544.917 1979.672
486 1  435.678 2379.056 3209.785
487 1  0.001 2523.400 5998.056
488 1  211.706 452.175 3039.142
489 1  10.984 5989.050 1177.691
490 1  1155.345 5975.520 151.157
491 1  3904.566 4386.051 2230.197
492 1  5999.883 3.288 2.843
493 1  5679.685 5958.825 2.035
494 1  435.962 3131.058 0.314
495 1  5743.185 1147.782 220.646
496 1  2480.193 3897.865 3034.871
497 1  5776.685 5493.627 4930.199
498 1  5999.018 512.324 4893.162
499 1  4204.166 5999.575 1305.052
500 1  2526.415 0.000 2041.177
501 2  5999.945 3058.554 5928.001
502 2  3732.510 103.156 125.395
503 2  4060.534 1274.242 0.004
504 2  0.412 853.064 5999.333
505 2  2992.553 1230.912 6000.000
506 2  0.330 5342.969 5999.907
507 2  3957.340 0.001 2545.806
508 2  270.826 4988.194 230.268
509 2  4874.562 0.205 2754.346
510 2  5999.724 1203.956 3863.401
511 2  4457.533 5608.908 1806.656
512 2  0.000 4067.045 6000.000
513 2  5996.578 5080.684 1.276
514 2  4180.938 0.296 5993.338
515 2  2926.118 5912.317 3815.089
516 2  5997.305 5999.077 2577.354
517 2  3781.399 3310.613 6000.000
518 2  2384.000 0.379 1903.766
519 2  4723.562 1622.191 0.000
520 2  2543.510 843.230 5191.597
521 2  5643.290 99.567 5998.837
522 2  2842.533 2403.057 4876.586
523 2  1832.006 5574.892 1896.631
524 2  1.484 2.220 2561.941
525 2  1.319 5998.927 5492.472
