LAMMPS data file, Author: Jerry Qin

1000 atoms
0 bonds
0 angles

2 atom types

0.0 6000 xlo xhi
0.0 6000 ylo yhi
0.0 6000 zlo zhi

Masses

1 221851.699
2 422051.6999

Atoms

182 1  1011.165 0.000 2748.231
183 1  1018.316 0.000 514.024
184 1  204.126 1150.303 689.853
185 1  874.969 1147.631 632.030
186 1  933.964 437.302 588.384
187 1  115.878 829.063 311.139
188 1  690.507 1270.906 967.164
189 1  1943.245 121.785 960.251
190 1  789.122 710.203 994.535
191 1  931.001 284.436 580.834
192 1  511.167 220.689 557.454
193 1  93.806 105.191 1090.312
194 1  322.395 945.306 1060.333
195 1  171.639 953.036 832.636
196 1  0.000 581.441 916.885
197 1  819.559 127.983 1329.720
198 1  487.725 759.524 436.366
199 1  1115.408 712.291 1015.338
200 1  378.103 391.430 370.363
201 1  541.919 1327.369 1479.018
202 1  1201.015 1797.355 4790.702
203 1  143.796 461.359 222.687
204 1  3600.303 0.000 1058.482
205 1  1059.381 889.099 165.392
206 1  3139.369 2942.185 0.000
207 1  757.731 536.278 1205.699
208 1  46.274 940.116 218.741
209 1  2221.095 1737.364 1810.404
210 1  1018.635 821.328 351.628
211 1  2766.198 0.000 830.293
212 1  1693.003 2809.839 231.845
213 1  1673.845 3392.528 1570.047
214 1  427.550 600.053 1120.768
215 1  246.179 844.104 793.109
216 1  0.016 1318.485 1241.220
217 1  267.063 407.556 415.472
218 1  160.402 577.404 78.446
219 1  176.711 772.811 964.623
220 1  493.437 369.982 468.901
221 1  372.516 911.923 788.813
222 1  806.739 72.370 316.359
223 1  571.235 984.021 154.829
224 1  96.780 344.304 765.627
225 1  788.222 289.508 515.725
226 1  816.636 59.839 809.347
227 1  82.182 533.974 149.463
228 1  127.337 650.282 937.380
229 1  293.616 266.490 736.978
230 1  1038.743 606.670 192.582
231 1  3139.871 0.000 2736.359
232 1  385.040 273.534 946.206
233 1  829.927 0.000 900.883
234 1  621.374 546.256 701.568
235 1  1283.479 848.734 0.000
236 1  958.825 0.000 124.595
237 1  435.963 426.296 1001.829
238 1  915.132 449.016 24.289
239 1  741.441 506.418 507.657
240 1  784.669 1689.559 918.287
241 1  178.561 1250.808 420.410
242 1  487.160 482.549 119.935
243 1  807.599 584.743 298.523
244 1  5170.187 3844.607 3485.547
245 1  0.000 948.556 1211.060
246 1  533.657 0.000 97.008
247 1  2277.762 379.498 705.863
248 1  1259.772 1069.334 656.521
249 1  1146.487 464.770 747.577
250 1  761.331 1467.119 884.640
251 1  2957.240 348.996 425.407
252 1  4800.253 5171.581 1021.538
253 1  1566.381 1019.204 734.611
254 1  371.254 924.854 909.329
255 1  2497.410 1147.514 3614.163
256 1  173.582 1551.960 1294.589
257 1  13.016 652.916 1107.281
258 1  147.702 775.330 769.629
259 1  4187.870 1347.292 2700.381
260 1  614.652 783.070 438.866
261 1  1388.068 133.056 488.034
262 1  589.235 157.236 1099.494
263 1  666.102 1177.936 832.541
264 1  702.062 1208.881 180.009
265 1  1238.911 270.274 411.542
266 1  0.000 887.591 1025.337
267 1  810.738 804.744 321.049
268 1  432.148 285.219 724.423
269 1  418.544 307.663 1303.216
270 1  30.750 2127.084 147.556
271 1  794.942 844.101 736.607
272 1  255.804 598.643 300.745
273 1  1691.990 0.000 1279.893
274 1  677.388 478.643 879.737
275 1  859.490 960.691 305.186
276 1  429.130 570.413 151.758
277 1  1415.274 2024.189 669.525
278 1  21.072 445.790 221.466
279 1  285.505 767.890 916.223
280 1  0.000 406.320 677.650
281 1  298.486 633.466 1173.009
282 1  224.725 218.739 121.844
283 1  0.000 232.755 641.855
284 1  293.311 77.728 753.897
285 1  1002.726 909.867 644.063
286 1  128.554 1443.882 129.132
287 1  673.265 1043.027 796.126
288 1  1017.681 653.561 0.000
289 1  1097.241 506.666 1107.385
290 1  1301.533 524.738 808.603
291 1  649.390 278.490 525.281
292 1  1495.762 188.712 915.723
293 1  792.586 569.907 672.789
294 1  697.055 366.349 1288.579
295 1  850.803 240.218 280.942
296 1  183.217 973.604 966.789
297 1  549.523 416.404 1060.182
298 1  2391.536 0.000 1847.671
299 1  390.952 100.624 467.596
300 1  3.210 388.262 477.772
301 1  1574.871 424.175 833.463
302 1  2602.417 811.198 920.401
303 1  365.018 484.488 176.387
