LAMMPS data file, author Jerry Qin

1000 atoms
2 atom types
0 bonds
0 angles

-200.0 3200 xlo xhi
-200.0 3200 ylo yhi
-200.0 3200 zlo zhi

Masses

1 221851.569
2 422051.5699

Atoms

183 1  876.227 244.699 35.156
184 1  1886.110 1129.732 2690.531
185 1  1277.486 57.625 1758.836
186 1  734.949 924.324 0.001
187 1  848.206 722.845 572.788
188 1  2526.160 1156.340 1779.935
189 1  424.698 296.790 329.891
190 1  546.236 409.957 1112.867
191 1  790.756 311.205 247.130
192 1  1727.803 819.625 2399.608
193 1  292.866 772.653 330.373
194 1  954.762 777.946 2.699
195 1  724.841 1029.853 579.664
196 1  73.995 185.507 773.379
197 1  1120.838 1073.554 2979.503
198 1  961.114 553.355 162.011
199 1  2942.848 2813.704 1829.038
200 1  1259.079 2769.207 912.863
201 1  557.892 744.347 324.199
202 1  381.276 479.848 889.450
203 1  1654.315 1118.192 2527.723
204 1  210.131 0.000 276.912
205 1  137.282 1530.558 871.701
206 1  890.922 56.312 236.801
207 1  718.780 922.338 885.163
208 1  489.995 135.070 736.943
209 1  2893.152 2352.648 2467.689
210 1  176.012 955.025 2014.414
211 1  876.480 200.484 177.473
212 1  472.846 321.136 186.510
213 1  564.442 255.591 256.784
214 1  644.528 672.747 950.300
215 1  1828.475 97.233 2282.485
216 1  921.372 724.097 154.075
217 1  577.775 232.601 388.640
218 1  184.574 746.750 1044.725
219 1  2218.655 2673.929 2330.603
220 1  512.671 881.944 862.262
221 1  2260.933 2946.658 1593.684
222 1  192.392 891.486 1038.817
223 1  1021.279 1368.144 2335.579
224 1  1022.811 176.318 759.163
225 1  319.371 2502.395 811.616
226 1  582.646 47.737 437.373
227 1  716.056 970.978 741.545
228 1  807.092 314.889 798.118
229 1  158.934 747.188 715.930
230 1  654.908 249.730 0.000
231 1  825.634 759.179 226.454
232 1  215.522 678.858 89.808
233 1  296.867 710.855 222.302
234 1  278.234 14.228 816.779
235 1  422.381 48.050 166.461
236 1  424.285 2492.818 1598.606
237 1  443.646 310.205 685.149
238 1  1573.956 553.552 2803.627
239 1  2068.740 1672.469 1761.563
240 1  403.761 1603.542 154.013
241 1  2242.621 2356.188 1027.168
242 1  934.877 605.400 687.210
243 1  580.638 1714.570 1763.373
244 1  295.200 606.484 484.973
245 1  1386.432 1916.443 649.209
246 1  705.481 1286.542 1076.172
247 1  673.856 1394.853 1714.355
248 1  1459.216 2919.089 396.812
249 1  317.879 522.174 1119.956
250 1  367.732 822.674 706.528
251 1  704.694 938.018 1018.990
252 1  396.649 1025.729 536.066
253 1  776.452 398.576 880.562
254 1  2372.005 1514.226 2413.862
255 1  727.105 316.402 971.309
256 1  742.687 1029.501 256.826
257 1  570.635 913.428 960.620
258 1  666.279 840.194 984.840
259 1  607.876 2080.606 2320.634
260 1  716.348 2021.877 1494.246
261 1  162.790 218.291 698.012
262 1  505.372 445.075 610.670
263 1  740.193 456.274 470.515
264 1  595.730 790.107 695.028
265 1  705.029 571.240 690.399
266 1  1013.427 557.221 406.965
267 1  1489.182 2142.500 998.945
268 1  2547.092 2386.131 1146.160
269 1  1545.572 754.497 1612.578
270 1  962.377 984.926 489.583
271 1  856.208 1547.627 292.369
272 1  468.293 1046.212 777.095
273 1  1353.083 2139.592 8.183
274 1  504.013 435.172 419.678
275 1  192.769 109.923 326.300
276 1  1365.167 1156.921 1852.154
277 1  73.895 699.237 981.467
278 1  326.543 1109.137 291.444
279 1  222.105 672.489 374.410
280 1  697.830 249.310 1088.961
281 1  219.614 489.024 144.068
282 1  551.994 729.870 914.984
283 1  2841.946 1956.568 2986.173
284 1  622.017 716.230 1977.108
285 1  643.057 405.240 507.181
286 1  146.474 886.186 144.054
287 1  484.118 812.717 230.118
288 1  1572.442 984.408 1668.341
289 1  410.398 360.187 580.095
290 1  472.158 203.175 215.739
291 1  720.095 2992.723 462.403
292 1  130.725 183.958 237.552
293 1  333.002 599.647 190.441
294 1  457.079 1394.517 1075.171
295 1  1107.763 1891.678 310.107
296 1  1019.778 334.439 929.647
297 1  318.812 618.667 359.975
298 1  621.023 879.310 783.944
299 1  1039.898 170.297 917.410
